rows 14674 races 3643

== 目的=sorou: 発走までの時間 × 板の充足 → 市場量の増分 ΔAUC（base=axis_sum,pw_ent,印一致）==
  発走まで      充足    n     base   +市場(as-of) Δ [95%CI]            同レースの確定オッズ Δ
   0.0〜 1.5h  全35点     1734  0.6882  0.6999 +0.0116 [+0.0005,+0.0223]   0.7144 +0.0261 [+0.0120,+0.0418]
   1.5〜 3.0h  全35点     1623  0.6632  0.6738 +0.0105 [-0.0016,+0.0223]   0.6821 +0.0189 [+0.0059,+0.0324]
   1.5〜 3.0h  18〜34点    636  0.6819  0.6869 +0.0050 [-0.0114,+0.0212]   0.7074 +0.0255 [-0.0043,+0.0518]
   3.0〜 5.0h  全35点     1194  0.6542  0.6692 +0.0150 [-0.0003,+0.0329]   0.6759 +0.0217 [+0.0037,+0.0392]
   3.0〜 5.0h  18〜34点   1388  0.6821  0.6930 +0.0109 [+0.0010,+0.0209]   0.7038 +0.0217 [+0.0057,+0.0370]
   5.0〜 8.0h  全35点      746  0.6715  0.6898 +0.0184 [-0.0046,+0.0380]   0.6908 +0.0193 [-0.0042,+0.0436]
   5.0〜 8.0h  18〜34点   1416  0.6664  0.6725 +0.0061 [-0.0026,+0.0167]   0.6892 +0.0228 [+0.0042,+0.0413]
   5.0〜 8.0h  <18点      205  0.6786  0.6521 -0.0265 [-0.0550,+0.0019]   0.7105 +0.0319 [-0.0096,+0.0748]
   8.0〜12.0h  全35点      244  0.6338  0.5834 -0.0504 [-0.0782,-0.0201]   0.5966 -0.0372 [-0.0786,-0.0006]
   8.0〜12.0h  18〜34点   1212  0.6545  0.6510 -0.0035 [-0.0175,+0.0088]   0.6797 +0.0252 [+0.0050,+0.0464]
   8.0〜12.0h  <18点      560  0.6959  0.6830 -0.0130 [-0.0231,-0.0020]   0.7215 +0.0255 [-0.0002,+0.0516]
  12.0〜30.0h  18〜34点    338  0.6470  0.6468 -0.0001 [-0.0324,+0.0298]   0.6439 -0.0031 [-0.0386,+0.0273]
  12.0〜30.0h  <18点      829  0.6907  0.6894 -0.0013 [-0.0123,+0.0102]   0.7103 +0.0197 [-0.0009,+0.0406]

== 目的=big: 発走までの時間 × 板の充足 → 市場量の増分 ΔAUC（base=axis_sum,pw_ent,印一致）==
  発走まで      充足    n     base   +市場(as-of) Δ [95%CI]            同レースの確定オッズ Δ
   0.0〜 1.5h  全35点     1734  0.6351  0.6285 -0.0066 [-0.0155,+0.0017]   0.6379 +0.0027 [-0.0074,+0.0136]
   1.5〜 3.0h  全35点     1623  0.6123  0.6081 -0.0042 [-0.0134,+0.0053]   0.6108 -0.0016 [-0.0135,+0.0106]
   1.5〜 3.0h  18〜34点    636  0.5999  0.5836 -0.0163 [-0.0322,+0.0015]   0.6034 +0.0035 [-0.0233,+0.0291]
   3.0〜 5.0h  全35点     1194  0.6121  0.5995 -0.0127 [-0.0274,+0.0015]   0.6137 +0.0016 [-0.0167,+0.0213]
   3.0〜 5.0h  18〜34点   1388  0.6515  0.6602 +0.0087 [-0.0066,+0.0229]   0.6526 +0.0011 [-0.0110,+0.0140]
   5.0〜 8.0h  全35点      746  0.6220  0.6072 -0.0148 [-0.0304,+0.0011]   0.6112 -0.0108 [-0.0282,+0.0100]
   5.0〜 8.0h  18〜34点   1416  0.6334  0.6243 -0.0091 [-0.0184,+0.0001]   0.6358 +0.0024 [-0.0119,+0.0149]
   5.0〜 8.0h  <18点      205  0.6330  0.6468 +0.0138 [-0.0444,+0.0658]   0.5967 -0.0363 [-0.0890,+0.0135]
   8.0〜12.0h  全35点      244  0.6019  0.5745 -0.0275 [-0.0613,+0.0081]   0.5802 -0.0217 [-0.0601,+0.0219]
   8.0〜12.0h  18〜34点   1212  0.6501  0.6404 -0.0097 [-0.0231,+0.0042]   0.6529 +0.0028 [-0.0109,+0.0183]
   8.0〜12.0h  <18点      560  0.6443  0.6400 -0.0043 [-0.0274,+0.0175]   0.6376 -0.0067 [-0.0297,+0.0181]
  12.0〜30.0h  18〜34点    338  0.6576  0.6556 -0.0020 [-0.0348,+0.0347]   0.6261 -0.0315 [-0.0505,-0.0131]
  12.0〜30.0h  <18点      829  0.6916  0.6800 -0.0116 [-0.0211,-0.0023]   0.7005 +0.0089 [-0.0095,+0.0281]
